OBJECTNUMMER;SidewalkID;Streetname;Segments;NetworkType;ComfortLevelCode;ComfortLevel;SpaceclaimCode;Spaceclaim;SpaceclaimAantal;SituationCode;Situation;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
2049;2049;"Lange Leidsedwarsstraat";"0004";"";"06MIN";"Smaller dan 0.6m";"BROM|FIETSONREG|PAAL";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - Palen en masten";3;"VOETFIETS";"Voetgangersgebied, fietsen toegestaan";"LINESTRING(4.887123 52.362285,4.885193 52.363602)";"LINESTRING(52.362285 4.887123,52.363602 4.885193)";4.886158;52.36294365
2050;2050;"Lange Leidsedwarsstraat";"0005";"";"06MIN";"Smaller dan 0.6m";"BROM|TERRAS|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - Terrassen";3;"VOETFIETS";"Voetgangersgebied, fietsen toegestaan";"LINESTRING(4.885096 52.363663,4.883733 52.364584)";"LINESTRING(52.363663 4.885096,52.364584 4.883733)";4.88441445;52.3641243
2051;2051;"Lange Leidsedwarsstraat";"0006";"";"06";"0.6m";"WINKEL|MEUBEL|GROEN|TERRAS|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Groen - Straatmeubilair - Terrassen - Winkeluitstalling & reclameborden";5;"VOETFIETS";"Voetgangersgebied, fietsen toegestaan";"LINESTRING(4.883597 52.364682,4.882074 52.365725)";"LINESTRING(52.364682 4.883597,52.365725 4.882074)";4.8828354;52.36520385
2052;2052;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.883597 52.364682,4.883632 52.364661,4.883702 52.364611,4.883733 52.364584)";"LINESTRING(52.364682 4.883597,52.364661 4.883632,52.364611 4.883702,52.364584 4.883733)";4.88366485;52.36463355
2053;2053;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.883651 52.364563,4.88363 52.364574,4.883576 52.364631,4.883522 52.364657)";"LINESTRING(52.364563 4.883651,52.364574 4.88363,52.364631 4.883576,52.364657 4.883522)";4.8835864;52.3646107
2054;2054;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.883576 52.364631,4.883632 52.364661)";"LINESTRING(52.364631 4.883576,52.364661 4.883632)";4.88360405;52.36464695
2055;2055;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.88363 52.364574,4.883702 52.364611)";"LINESTRING(52.364574 4.88363,52.364611 4.883702)";4.8836658;52.3645935
2056;2056;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.885096 52.363663,4.885193 52.363602)";"LINESTRING(52.363663 4.885096,52.363602 4.885193)";4.8851445;52.3636322
2057;2057;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.885026 52.363621,4.885119 52.363559)";"LINESTRING(52.363621 4.885026,52.363559 4.885119)";4.8850725;52.36359025
2058;2058;"Spiegelgracht";"0001";"";"06";"0.6m";"WINKEL|GROEN";"Groen - Winkeluitstalling & reclameborden";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887576 52.362706,4.887485 52.362593,4.887173 52.362281,4.887123 52.362285)";"LINESTRING(52.362706 4.887576,52.362593 4.887485,52.362281 4.887173,52.362285 4.887123)";4.8873496;52.3624935
2059;2059;"Spiegelgracht";"0002";"";"18";"1.8m";"WINKEL|MEUBEL";"Straatmeubilair - Winkeluitstalling & reclameborden";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887555 52.362103,4.88781 52.362399,4.887938 52.362504)";"LINESTRING(52.362103 4.887555,52.362399 4.88781,52.362504 4.887938)";4.88774655;52.3623028
2060;2060;"Spiegelgracht";"0003";"";"09";"0.9m";"WINKEL";"Winkeluitstalling & reclameborden";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.88721 52.361715,4.887511 52.36204)";"LINESTRING(52.361715 4.88721,52.36204 4.887511)";4.88736035;52.36187745
2061;2061;"Spiegelgracht";"0004";"";"09";"0.9m";"MEUBEL|GROEN";"Groen - Straatmeubilair";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887118 52.362208,4.886804 52.361871)";"LINESTRING(52.362208 4.887118,52.361871 4.886804)";4.886961;52.36203955
2062;2062;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887511 52.36204,4.887555 52.362103)";"LINESTRING(52.36204 4.887511,52.362103 4.887555)";4.88753295;52.362072
2063;2063;"Lijnbaansgracht";"0007";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.88706 52.361736,4.886883 52.361821)";"LINESTRING(52.361736 4.88706,52.361821 4.886883)";4.8869715;52.36177825
2064;2064;"Lijnbaansgracht";"0008";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887018 52.361688,4.886757 52.361806)";"LINESTRING(52.361688 4.887018,52.361806 4.886757)";4.88688755;52.36174585
2065;2065;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886804 52.361871,4.886883 52.361821)";"LINESTRING(52.361871 4.886804,52.361821 4.886883)";4.88684345;52.361845
2066;2066;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886804 52.361871,4.886757 52.361806)";"LINESTRING(52.361871 4.886804,52.361806 4.886757)";4.8867805;52.3618374
2067;2067;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.88706 52.361736,4.88721 52.361715)";"LINESTRING(52.361736 4.88706,52.361715 4.88721)";4.88713505;52.36172485
2068;2068;"Weteringschans";"0001";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886888 52.361487,4.887009 52.361639,4.887018 52.361688)";"LINESTRING(52.361487 4.886888,52.361639 4.887009,52.361688 4.887018)";4.8869531;52.3615875
2069;2069;"Weteringschans";"0002";"";"09";"0.9m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886963 52.361422,4.887084 52.361565,4.887136 52.361598)";"LINESTRING(52.361422 4.886963,52.361565 4.887084,52.361598 4.887136)";4.88704945;52.36151125
2070;2070;"Weteringschans";"0003";"";"22";"2.2m";"FIETSREG";"Geparkeerde fietsen gereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886577 52.361298,4.886781 52.361445)";"LINESTRING(52.361298 4.886577,52.361445 4.886781)";4.88667915;52.361372
2071;2071;"Weteringschans";"0004";"";"22";"2.2m";"FIETSREG|MEUBEL";"Geparkeerde fietsen gereguleerd - Straatmeubilair";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886826 52.361221,4.886923 52.361359)";"LINESTRING(52.361221 4.886826,52.361359 4.886923)";4.8868744;52.36128995
2072;2072;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886781 52.361445,4.886888 52.361487)";"LINESTRING(52.361445 4.886781,52.361487 4.886888)";4.8868346;52.36146735
2073;2073;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886963 52.361422,4.886923 52.361359)";"LINESTRING(52.361422 4.886963,52.361359 4.886923)";4.88694285;52.36139105
2074;2074;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.88721 52.361715,4.887136 52.361598)";"LINESTRING(52.361715 4.88721,52.361598 4.887136)";4.88717295;52.3616562
2075;2075;"Museumbrug";"0001";"";"18";"1.8m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886059 52.360681,4.886369 52.360913,4.886428 52.361025,4.886474 52.361125)";"LINESTRING(52.360681 4.886059,52.360913 4.886369,52.361025 4.886428,52.361125 4.886474)";4.88626645;52.36090275
2076;2076;"Museumbrug";"0002";"";"18";"1.8m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.88622 52.360609,4.886366 52.360726,4.886591 52.360886,4.886769 52.360941)";"LINESTRING(52.360609 4.88622,52.360726 4.886366,52.360886 4.886591,52.360941 4.886769)";4.8864944;52.36077495
2077;2077;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886577 52.361298,4.886474 52.361125)";"LINESTRING(52.361298 4.886577,52.361125 4.886474)";4.8865256;52.36121175
2078;2078;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886826 52.361221,4.886769 52.360941)";"LINESTRING(52.361221 4.886826,52.360941 4.886769)";4.8867974;52.36108205
2079;2079;"Weteringschans";"0005";"";"36PLUS";"3.6m of breder";"FIETSREG";"Geparkeerde fietsen gereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.897635 52.35949,4.898327 52.359589)";"LINESTRING(52.35949 4.897635,52.359589 4.898327)";4.89798095;52.359539
2080;2080;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.897635 52.35949,4.897508 52.359469)";"LINESTRING(52.35949 4.897635,52.359469 4.897508)";4.89757155;52.3594799
2081;2081;"Weteringschans";"0006";"";"22";"2.2m";"FIETSREG|MEUBEL|GROEN";"Geparkeerde fietsen gereguleerd - Groen - Straatmeubilair";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.896444 52.359406,4.897073 52.359418,4.897508 52.359469)";"LINESTRING(52.359406 4.896444,52.359418 4.897073,52.359469 4.897508)";4.89697595;52.35943795
2082;2082;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.896444 52.359406,4.896319 52.359416)";"LINESTRING(52.359406 4.896444,52.359416 4.896319)";4.89638135;52.35941125
2083;2083;"Weteringschans";"0007";"";"18";"1.8m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893037 52.359581,4.894425 52.359503,4.896235 52.359395,4.896319 52.359416)";"LINESTRING(52.359581 4.893037,52.359503 4.894425,52.359395 4.896235,52.359416 4.896319)";4.89467785;52.35948755
2084;2084;"Weteringschans";"0008";"";"09";"0.9m";"FIETSREG|BROM|WINKEL|FIETSONREG|PAAL";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Palen en masten - Winkeluitstalling & reclameborden";5;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893037 52.359581,4.891243 52.35968,4.891153 52.359708)";"LINESTRING(52.359581 4.893037,52.35968 4.891243,52.359708 4.891153)";4.89209485;52.35964395
2085;2085;"Weteringschans";"0009";"";"18";"1.8m";"WINKEL|FIETSONREG|PAAL";"Geparkeerde fietsen ongereguleerd - Palen en masten - Winkeluitstalling & reclameborden";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888193 52.360558,4.889024 52.360157,4.889381 52.359993,4.889803 52.359805,4.890133 52.359749,4.890425 52.359735,4.890587 52.359774)";"LINESTRING(52.360558 4.888193,52.360157 4.889024,52.359993 4.889381,52.359805 4.889803,52.359749 4.890133,52.359735 4.890425,52.359774 4.890587)";4.88939;52.3601456
2086;2086;"Weteringschans";"0010";"";"18";"1.8m";"BROM|GROEN|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - Groen";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886826 52.361221,4.886966 52.361156,4.888103 52.360604)";"LINESTRING(52.361221 4.886826,52.361156 4.886966,52.360604 4.888103)";4.8874645;52.3609123
2087;2087;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888193 52.360558,4.888103 52.360604)";"LINESTRING(52.360558 4.888193,52.360604 4.888103)";4.88814805;52.36058045
2088;2088;"Weteringschans";"0011";"";"09";"0.9m";"BROM|WINKEL|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - Winkeluitstalling & reclameborden";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.883702 52.362794,4.883845 52.362586,4.884581 52.362221,4.886489 52.361326,4.886577 52.361298)";"LINESTRING(52.362794 4.883702,52.362586 4.883845,52.362221 4.884581,52.361326 4.886489,52.361298 4.886577)";4.88513945;52.3620453
2089;2089;"Weteringschans";"0012";"";"18";"1.8m";"BROM|GROEN|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - Groen";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886474 52.361125,4.886193 52.361274,4.885045 52.36181,4.884549 52.362044,4.884047 52.362286,4.883862 52.362369,4.883705 52.362429,4.883629 52.362487)";"LINESTRING(52.361125 4.886474,52.361274 4.886193,52.36181 4.885045,52.362044 4.884549,52.362286 4.884047,52.362369 4.883862,52.362429 4.883705,52.362487 4.883629)";4.88505145;52.36180685
2090;2090;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886577 52.361298,4.886826 52.361221)";"LINESTRING(52.361298 4.886577,52.361221 4.886826)";4.88670155;52.36125945
2091;2091;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.886474 52.361125,4.886769 52.360941)";"LINESTRING(52.361125 4.886474,52.360941 4.886769)";4.88662145;52.36103435
2092;2092;"Weteringschans";"0013";"";"06";"0.6m";"GROEN|OVERIG|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Groen - Overig";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888108 52.360408,4.887953 52.360478,4.887052 52.360885,4.886934 52.360938,4.886769 52.360941)";"LINESTRING(52.360408 4.888108,52.360478 4.887953,52.360885 4.887052,52.360938 4.886934,52.360941 4.886769)";4.8874383;52.3606758
2093;2093;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888108 52.360408,4.888161 52.360387)";"LINESTRING(52.360408 4.888108,52.360387 4.888161)";4.8881345;52.36039735
2094;2094;"Weteringschans";"0014";"";"09";"0.9m";"FIETSREG|FIETSONREG";"Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.890186 52.359568,4.889996 52.359622,4.889392 52.359777,4.889245 52.359869,4.888687 52.360134,4.888161 52.360387)";"LINESTRING(52.359568 4.890186,52.359622 4.889996,52.359777 4.889392,52.359869 4.889245,52.360134 4.888687,52.360387 4.888161)";4.8891735;52.3599777
2095;2095;"Weteringschans";"0015";"";"09";"0.9m";"FIETSREG|FIETSONREG";"Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.896288 52.35924,4.893022 52.359429)";"LINESTRING(52.35924 4.896288,52.359429 4.893022)";4.894655;52.35933495
2096;2096;"Weteringschans";"0016";"";"18";"1.8m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.897264 52.359192,4.896421 52.359232)";"LINESTRING(52.359192 4.897264,52.359232 4.896421)";4.8968425;52.3592129
2097;2097;"Weteringschans";"0017";"";"29";"2.9m";"FIETSREG";"Geparkeerde fietsen gereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.898519 52.359331,4.897378 52.359179)";"LINESTRING(52.359331 4.898519,52.359179 4.897378)";4.8979485;52.35925485
2098;2098;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.897378 52.359179,4.897264 52.359192)";"LINESTRING(52.359179 4.897378,52.359192 4.897264)";4.897321;52.3591862
2099;2099;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.896288 52.35924,4.896421 52.359232)";"LINESTRING(52.35924 4.896288,52.359232 4.896421)";4.89635445;52.3592377
2100;2100;"Overtoom";"0001";"";"09";"0.9m";"FIETSREG|BROM|WINKEL|MEUBEL|GROEN|TERRAS|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Groen - Straatmeubilair - Terrassen - Winkeluitstalling & reclameborden";7;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.875396 52.362914,4.876198 52.363126,4.878462 52.363833,4.878554 52.363876)";"LINESTRING(52.362914 4.875396,52.363126 4.876198,52.363833 4.878462,52.363876 4.878554)";4.87697485;52.36339565
2101;2101;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.875396 52.362914,4.875019 52.362823)";"LINESTRING(52.362914 4.875396,52.362823 4.875019)";4.87520745;52.36286925
2102;2102;"Overtoom";"0002";"";"18";"1.8m";"FIETSREG|BROM|WINKEL|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Winkeluitstalling & reclameborden";4;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.873674 52.362485,4.875019 52.362823)";"LINESTRING(52.362485 4.873674,52.362823 4.875019)";4.8743465;52.36265375
2103;2103;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.873674 52.362485,4.87351 52.36243)";"LINESTRING(52.362485 4.873674,52.36243 4.87351)";4.8735919;52.3624573
2104;2104;"Overtoom";"0003";"";"22";"2.2m";"WINKEL|GROEN|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Groen - Winkeluitstalling & reclameborden";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.867928 52.360947,4.869233 52.361282,4.869426 52.361327,4.870748 52.361662,4.871486 52.361885,4.87351 52.36243)";"LINESTRING(52.360947 4.867928,52.361282 4.869233,52.361327 4.869426,52.361662 4.870748,52.361885 4.871486,52.36243 4.87351)";4.87071895;52.36168865
2105;2105;"Overtoom";"0004";"";"18";"1.8m";"WINKEL|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Winkeluitstalling & reclameborden";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.865586 52.36043,4.867816 52.360918)";"LINESTRING(52.36043 4.865586,52.360918 4.867816)";4.8667009;52.3606739
2106;2106;"Overtoom";"0005";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.865756 52.36018,4.865993 52.360239)";"LINESTRING(52.36018 4.865756,52.360239 4.865993)";4.8658745;52.3602085
2107;2107;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.865993 52.360239,4.866079 52.360274)";"LINESTRING(52.360239 4.865993,52.360274 4.866079)";4.86603595;52.3602562
2108;2108;"Overtoom";"0006";"";"22";"2.2m";"WINKEL|TERRAS|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Terrassen - Winkeluitstalling & reclameborden";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.867928 52.360703,4.867549 52.360613,4.866792 52.360438,4.866079 52.360274)";"LINESTRING(52.360703 4.867928,52.360613 4.867549,52.360438 4.866792,52.360274 4.866079)";4.86700345;52.3604889
2109;2109;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.867928 52.360703,4.868018 52.360731)";"LINESTRING(52.360703 4.867928,52.360731 4.868018)";4.8679731;52.36071585
2110;2110;"Overtoom";"0007";"";"18";"1.8m";"FIETSREG|WINKEL";"Geparkeerde fietsen gereguleerd - Winkeluitstalling & reclameborden";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.869411 52.361091,4.868018 52.360731)";"LINESTRING(52.361091 4.869411,52.360731 4.868018)";4.8687146;52.3609104
2111;2111;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.869411 52.361091,4.869559 52.36113)";"LINESTRING(52.361091 4.869411,52.36113 4.869559)";4.8694849;52.3611107
2112;2112;"Overtoom";"0008";"";"18";"1.8m";"FIETSREG|BROM|WINKEL|GROEN|TERRAS|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Groen - Terrassen - Winkeluitstalling & reclameborden";6;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.869559 52.36113,4.871773 52.361701,4.87272 52.361948,4.87362 52.362176)";"LINESTRING(52.36113 4.869559,52.361701 4.871773,52.361948 4.87272,52.362176 4.87362)";4.8715894;52.3616524
2113;2113;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.87362 52.362176,4.873779 52.362215)";"LINESTRING(52.362176 4.87362,52.362215 4.873779)";4.8736994;52.36219405
2114;2114;"Overtoom";"0009";"";"18";"1.8m";"WINKEL|TERRAS|FIETSONREG";"Geparkeerde fietsen ongereguleerd -  - Terrassen - Winkeluitstalling & reclameborden";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.875245 52.362588,4.8752 52.362571,4.873779 52.362215)";"LINESTRING(52.362588 4.875245,52.362571 4.8752,52.362215 4.873779)";4.87451195;52.36240005
2115;2115;"Overtoom";"0010";"";"18";"1.8m";"FIETSREG|BROM|WINKEL|GROEN|FIETSONREG|PAAL";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Groen - Palen en masten - Winkeluitstalling & reclameborden";6;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.878737 52.363564,4.878446 52.363497,4.877237 52.363143,4.876387 52.362884,4.875651 52.362692,4.875504 52.362642)";"LINESTRING(52.363564 4.878737,52.363497 4.878446,52.363143 4.877237,52.362884 4.876387,52.362692 4.875651,52.362642 4.875504)";4.8771205;52.36310195
2116;2116;"Stadhouderskade";"0001";"";"18";"1.8m";"FIETSREG|WINKEL|GROEN|FIETSONREG";"Geparkeerde fietsen gereguleerd - Geparkeerde fietsen ongereguleerd - Groen - Winkeluitstalling & reclameborden";4;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.879859 52.362844,4.87921 52.363323,4.879126 52.363397,4.878856 52.363521,4.878737 52.363564)";"LINESTRING(52.362844 4.879859,52.363323 4.87921,52.363397 4.879126,52.363521 4.878856,52.363564 4.878737)";4.879298;52.36320305
2117;2117;"Stadhouderskade";"0002";"";"29";"2.9m";"FIETSREG|BROM|WINKEL|MEUBEL|GROEN";"Geparkeerde brommers/motoren - Geparkeerde fietsen gereguleerd - Groen - Straatmeubilair - Winkeluitstalling & reclameborden";5;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.879997 52.362766,4.880461 52.362405)";"LINESTRING(52.362766 4.879997,52.362405 4.880461)";4.880229;52.3625851
2118;2118;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.879859 52.362844,4.879997 52.362766)";"LINESTRING(52.362844 4.879859,52.362766 4.879997)";4.8799279;52.36280445
2119;2119;"Stadhouderskade";"0003";"";"36PLUS";"3.6m of breder";"WINKEL|GROEN";"Groen - Winkeluitstalling & reclameborden";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.881229 52.361872,4.88085 52.362095,4.880624 52.362269)";"LINESTRING(52.361872 4.881229,52.362095 4.88085,52.362269 4.880624)";4.88092635;52.362072
2120;2120;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.880461 52.362405,4.880624 52.362269)";"LINESTRING(52.362405 4.880461,52.362269 4.880624)";4.8805425;52.36233715
2121;2121;"Stadhouderskade";"0004";"";"22";"2.2m";"BROM|PAAL";"Geparkeerde brommers/motoren - Palen en masten";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.881638 52.361716,4.88135 52.361816)";"LINESTRING(52.361716 4.881638,52.361816 4.88135)";4.88149405;52.3617668
2122;2122;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.881229 52.361872,4.88135 52.361816)";"LINESTRING(52.361872 4.881229,52.361816 4.88135)";4.88128945;52.361845
2123;2123;"Stadhouderskade";"0005";"";"22";"2.2m";"FIETSONREG|PAAL";"Geparkeerde fietsen ongereguleerd - Palen en masten";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.882155 52.361576,4.882077 52.361586,4.881802 52.361657)";"LINESTRING(52.361576 4.882155,52.361586 4.882077,52.361657 4.881802)";4.8819785;52.36161615
2124;2124;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.881638 52.361716,4.881802 52.361657)";"LINESTRING(52.361716 4.881638,52.361657 4.881802)";4.8817201;52.3616867
2125;2125;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.882155 52.361576,4.882417 52.361585)";"LINESTRING(52.361576 4.882155,52.361585 4.882417)";4.88228605;52.3615799
2126;2126;"Stadhouderskade";"0006";"";"18";"1.8m";"BROM|GROEN|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd - Groen";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.884296 52.361298,4.884158 52.361384,4.883794 52.361527,4.883579 52.361571,4.88339 52.361589,4.883151 52.361582,4.882417 52.361585)";"LINESTRING(52.361298 4.884296,52.361384 4.884158,52.361527 4.883794,52.361571 4.883579,52.361589 4.88339,52.361582 4.883151,52.361585 4.882417)";4.88335655;52.36144255
